Source Name	Type	Type2	Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
hESCpassage_10_Cell_15	hESC_p10	primed	SRR491079	GSM922264: hESC passage#10 -Cell#15; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	28843	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491079/SRR491079.sra	SRR491079.sra	SRR491079_GSM922264_hESC_passage_10_-Cell_15_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491079/SRR491079.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491079/SRR491079.fastq.gz	SRR491079.fastq.gz	SRR491079_GSM922264_hESC_passage_10_-Cell_15_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_19	hESC_p10	primed	SRR491083	GSM922268: hESC passage#10 -Cell#19; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	36795	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491083/SRR491083.sra	SRR491083.sra	SRR491083_GSM922268_hESC_passage_10_-Cell_19_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491083/SRR491083.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491083/SRR491083.fastq.gz	SRR491083.fastq.gz	SRR491083_GSM922268_hESC_passage_10_-Cell_19_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_17	hESC_p10	primed	SRR491081	GSM922266: hESC passage#10 -Cell#17; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	30483	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491081/SRR491081.sra	SRR491081.sra	SRR491081_GSM922266_hESC_passage_10_-Cell_17_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491081/SRR491081.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491081/SRR491081.fastq.gz	SRR491081.fastq.gz	SRR491081_GSM922266_hESC_passage_10_-Cell_17_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_18	hESC_p10	primed	SRR491082	GSM922267: hESC passage#10 -Cell#18; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	37419	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491082/SRR491082.sra	SRR491082.sra	SRR491082_GSM922267_hESC_passage_10_-Cell_18_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491082/SRR491082.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491082/SRR491082.fastq.gz	SRR491082.fastq.gz	SRR491082_GSM922267_hESC_passage_10_-Cell_18_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_20	hESC_p10	primed	SRR491084	GSM922269: hESC passage#10 -Cell#20; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	29116	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491084/SRR491084.sra	SRR491084.sra	SRR491084_GSM922269_hESC_passage_10_-Cell_20_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491084/SRR491084.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491084/SRR491084.fastq.gz	SRR491084.fastq.gz	SRR491084_GSM922269_hESC_passage_10_-Cell_20_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_21	hESC_p10	primed	SRR491085	GSM922270: hESC passage#10 -Cell#21; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	30718	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491085/SRR491085.sra	SRR491085.sra	SRR491085_GSM922270_hESC_passage_10_-Cell_21_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491085/SRR491085.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491085/SRR491085.fastq.gz	SRR491085.fastq.gz	SRR491085_GSM922270_hESC_passage_10_-Cell_21_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_22	hESC_p10	primed	SRR491086	GSM922271: hESC passage#10 -Cell#22; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	26970	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491086/SRR491086.sra	SRR491086.sra	SRR491086_GSM922271_hESC_passage_10_-Cell_22_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491086/SRR491086.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491086/SRR491086.fastq.gz	SRR491086.fastq.gz	SRR491086_GSM922271_hESC_passage_10_-Cell_22_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_25	hESC_p10	primed	SRR491089	GSM922274: hESC passage#10 -Cell#25; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	31442	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491089/SRR491089.sra	SRR491089.sra	SRR491089_GSM922274_hESC_passage_10_-Cell_25_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491089/SRR491089.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491089/SRR491089.fastq.gz	SRR491089.fastq.gz	SRR491089_GSM922274_hESC_passage_10_-Cell_25_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_24	hESC_p10	primed	SRR491088	GSM922273: hESC passage#10 -Cell#24; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	31429	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491088/SRR491088.sra	SRR491088.sra	SRR491088_GSM922273_hESC_passage_10_-Cell_24_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491088/SRR491088.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491088/SRR491088.fastq.gz	SRR491088.fastq.gz	SRR491088_GSM922273_hESC_passage_10_-Cell_24_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_23	hESC_p10	primed	SRR491087	GSM922272: hESC passage#10 -Cell#23; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	34623	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491087/SRR491087.sra	SRR491087.sra	SRR491087_GSM922272_hESC_passage_10_-Cell_23_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491087/SRR491087.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491087/SRR491087.fastq.gz	SRR491087.fastq.gz	SRR491087_GSM922272_hESC_passage_10_-Cell_23_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_10_Cell_26	hESC_p10	primed	SRR491090	GSM922275: hESC passage#10 -Cell#26; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	26962	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491090/SRR491090.sra	SRR491090.sra	SRR491090_GSM922275_hESC_passage_10_-Cell_26_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491090/SRR491090.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491090/SRR491090.fastq.gz	SRR491090.fastq.gz	SRR491090_GSM922275_hESC_passage_10_-Cell_26_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_0_Cell_6	hESC_p0	primed_p0	SRR491041	GSM922226: hESC passage#0 -Cell#6; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	24407	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491041/SRR491041.sra	SRR491041.sra	SRR491041_GSM922226_hESC_passage_0_-Cell_6_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491041/SRR491041.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491041/SRR491041.fastq.gz	SRR491041.fastq.gz	SRR491041_GSM922226_hESC_passage_0_-Cell_6_Homo_sapiens_RNA-Seq.fastq.gz
Lateblastocyst_3_Cell_8	late_blastocyst	blastocyst	SRR491038	GSM922223: Late blastocyst #3 -Cell#8; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	47513	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491038/SRR491038.sra	SRR491038.sra	SRR491038_GSM922223_Late_blastocyst_3_-Cell_8_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491038/SRR491038.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491038/SRR491038.fastq.gz	SRR491038.fastq.gz	SRR491038_GSM922223_Late_blastocyst_3_-Cell_8_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_0_Cell_4	hESC_p0	primed_p0	SRR491039	GSM922224: hESC passage#0 -Cell#4; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	27315	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491039/SRR491039.sra	SRR491039.sra	SRR491039_GSM922224_hESC_passage_0_-Cell_4_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491039/SRR491039.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491039/SRR491039.fastq.gz	SRR491039.fastq.gz	SRR491039_GSM922224_hESC_passage_0_-Cell_4_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_0_Cell_5	hESC_p0	primed_p0	SRR491040	GSM922225: hESC passage#0 -Cell#5; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	26677	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491040/SRR491040.sra	SRR491040.sra	SRR491040_GSM922225_hESC_passage_0_-Cell_5_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491040/SRR491040.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491040/SRR491040.fastq.gz	SRR491040.fastq.gz	SRR491040_GSM922225_hESC_passage_0_-Cell_5_Homo_sapiens_RNA-Seq.fastq.gz
Lateblastocyst_3_Cell_7	late_blastocyst	blastocyst	SRR491037	GSM922222: Late blastocyst #3 -Cell#7; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	39392	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491037/SRR491037.sra	SRR491037.sra	SRR491037_GSM922222_Late_blastocyst_3_-Cell_7_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491037/SRR491037.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491037/SRR491037.fastq.gz	SRR491037.fastq.gz	SRR491037_GSM922222_Late_blastocyst_3_-Cell_7_Homo_sapiens_RNA-Seq.fastq.gz
hESCpassage_0_Cell_7	hESC_p0	primed_p0	SRR491042	GSM922227: hESC passage#0 -Cell#7; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	19548	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR491/SRR491042/SRR491042.sra	SRR491042.sra	SRR491042_GSM922227_hESC_passage_0_-Cell_7_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR491/SRR491042/SRR491042.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR491/SRR491042/SRR491042.fastq.gz	SRR491042.fastq.gz	SRR491042_GSM922227_hESC_passage_0_-Cell_7_Homo_sapiens_RNA-Seq.fastq.gz
8_cellembryo_3_Cell_4	eight_cell	eight_cell	SRR490988	GSM922173: 8-cell embryo#3 -Cell#4; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	48887	1.37628E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR490/SRR490988/SRR490988.sra	SRR490988.sra	SRR490988_GSM922173_8-cell_embryo_3_-Cell_4_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR490/SRR490988/SRR490988.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR490/SRR490988/SRR490988.fastq.gz	SRR490988.fastq.gz	SRR490988_GSM922173_8-cell_embryo_3_-Cell_4_Homo_sapiens_RNA-Seq.fastq.gz
